home_team,away_team,week,play_type_nfl,play_type,yards_gained,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,td_team,td_player_name,interception,safety,fumble_lost,own_kickoff_recovery_td,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,lateral_recovery,passer,passing_yards,receiver,receiving_yards,rusher,rushing_yards,punt_returner_player_name,kickoff_returner_player_name,kicker_player_name,return_team,return_yards,special_teams_play,st_play_type,away_score,home_score,total_line,success,pass,rush,special,possession_team,desc
WAS,ARI,1,KICK_OFF,kickoff,0.0,,65.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,M.Prater,WAS,0.0,1.0,,16,20,38.0,0.0,0.0,0.0,1.0,ARI,"5-M.Prater kicks 65 yards from ARI 35 to end zone, Touchback."
WAS,ARI,1,RUSH,run,3.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Robinson,3.0,,,,,0.0,0.0,,16,20,38.0,0.0,0.0,1.0,0.0,WAS,(15:00) (Shotgun) 8-B.Robinson right tackle to WAS 28 for 3 yards (93-J.Ledbetter).
WAS,ARI,1,PASS,pass,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S.Howell,6.0,J.Dotson,6.0,,,,,,,0.0,0.0,,16,20,38.0,1.0,1.0,0.0,0.0,WAS,"(14:30) (Shotgun) 14-S.Howell pass short right to 1-J.Dotson to WAS 34 for 6 yards (13-K.Clark, 10-J.Woods)."
WAS,ARI,1,RUSH,run,2.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Rodriguez,2.0,,,,,0.0,0.0,,16,20,38.0,1.0,0.0,1.0,0.0,WAS,(13:55) 23-C.Rodriguez left guard to WAS 36 for 2 yards (97-C.Thomas; 25-Z.Collins).
WAS,ARI,1,PASS,pass,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S.Howell,,L.Thomas,,,,,,,,0.0,0.0,,16,20,38.0,0.0,1.0,0.0,0.0,WAS,(13:16) (Shotgun) 14-S.Howell pass incomplete short middle to 82-L.Thomas.
WAS,ARI,1,PASS,pass,12.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S.Howell,12.0,J.Dotson,12.0,,,,,,,0.0,0.0,,16,20,38.0,1.0,1.0,0.0,0.0,WAS,(13:12) 14-S.Howell pass short middle to 1-J.Dotson to WAS 48 for 12 yards (13-K.Clark).
WAS,ARI,1,PASS,pass,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S.Howell,1.0,C.Samuel,1.0,,,,,,,0.0,0.0,,16,20,38.0,0.0,1.0,0.0,0.0,WAS,(12:34) (Shotgun) 14-S.Howell pass short left to 4-C.Samuel to WAS 49 for 1 yard (34-J.Thompson).
WAS,ARI,1,PASS,pass,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S.Howell,,L.Thomas,,,,,,,,0.0,0.0,,16,20,38.0,0.0,1.0,0.0,0.0,WAS,(11:56) (Shotgun) 14-S.Howell pass incomplete short left to 82-L.Thomas (22-K.Wallace).
WAS,ARI,1,PASS,pass,2.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S.Howell,2.0,C.Samuel,2.0,,,,,,,0.0,0.0,,16,20,38.0,0.0,1.0,0.0,0.0,WAS,(11:51) (Shotgun) 14-S.Howell pass short right to 4-C.Samuel to ARI 49 for 2 yards (22-K.Wallace).
WAS,ARI,1,PUNT,punt,0.0,,42.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,ARI,0.0,1.0,,16,20,38.0,0.0,0.0,0.0,1.0,WAS,"(11:08) 5-T.Way punts 42 yards to ARI 7, Center-54-C.Cheeseman, downed by WAS-20-J.Martin.
PENALTY on WAS-34-C.Holmes, Illegal Block Above the Waist, 10 yards, enforced at ARI 7."
WAS,ARI,1,RUSH,run,-1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,-1.0,,,,,0.0,0.0,,16,20,38.0,0.0,0.0,1.0,0.0,ARI,"(10:59) 6-J.Conner left end pushed ob at ARI 16 for -1 yards (52-J.Davis, 31-K.Curl)."
WAS,ARI,1,RUSH,run,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,6.0,,,,,0.0,0.0,,16,20,38.0,0.0,0.0,1.0,0.0,ARI,(10:28) 6-J.Conner left guard to ARI 22 for 6 yards (25-B.St-Juste).
WAS,ARI,1,PASS,pass,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,J.Dobbs,6.0,Z.Ertz,6.0,,,,,,,0.0,0.0,,16,20,38.0,1.0,1.0,0.0,0.0,ARI,(9:51) (Shotgun) 9-J.Dobbs pass short middle to 86-Z.Ertz to ARI 28 for 6 yards (31-K.Curl).
WAS,ARI,1,PASS,pass,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Dobbs,,Z.Pascal,,,,,,,,0.0,0.0,,16,20,38.0,0.0,1.0,0.0,0.0,ARI,(9:12) 9-J.Dobbs pass incomplete short left to 0-Z.Pascal.
WAS,ARI,1,PASS,pass,-3.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,J.Dobbs,-3.0,Z.Ertz,-3.0,,,,,,,0.0,0.0,,16,20,38.0,0.0,1.0,0.0,0.0,ARI,(9:08) 9-J.Dobbs pass short left to 86-Z.Ertz to ARI 25 for -3 yards (22-D.Forrest; 96-J.Smith-Williams).
WAS,ARI,1,RUSH,run,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,5.0,,,,,0.0,0.0,,16,20,38.0,0.0,0.0,1.0,0.0,ARI,(8:28) (Shotgun) 6-J.Conner right guard to ARI 30 for 5 yards (31-K.Curl; 57-C.Barton).
WAS,ARI,1,PUNT,punt,0.0,,51.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,J.Crowder,,,WAS,0.0,1.0,,16,20,38.0,1.0,0.0,0.0,1.0,ARI,"(7:45) 16-N.Cooney punts 51 yards to WAS 19, Center-46-A.Brewer. 83-J.Crowder pushed ob at WAS 29 for 10 yards (52-V.Dimukeje).
PENALTY on WAS-20-J.Martin, Illegal Block Above the Waist, 10 yards, enforced at WAS 19."
WAS,ARI,1,PASS,pass,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,S.Howell,6.0,L.Thomas,6.0,,,,,,,0.0,0.0,,16,20,38.0,1.0,1.0,0.0,0.0,WAS,(7:11) (Shotgun) 14-S.Howell pass short middle to 82-L.Thomas to WAS 30 for 6 yards (20-Ma.Wilson).
