player_name,team,position_group,week,opponent_team,pre_bonus_fan_pts,total_yard_bonus_fan_pts,play_bonus_fan_pts,total_fan_pts,key
A.Rodgers,NYJ,QB,1,BUF,0.0,0,0.0,0.0,A.Rodgers|NYJ|QB|1
M.Lewis,CHI,TE,4,DEN,0.8,0,0.0,0.8,M.Lewis|CHI|TE|4
M.Stafford,LA,QB,1,SEA,17.8,5,2.0,24.8,M.Stafford|LA|QB|1
M.Stafford,LA,QB,2,SF,19.05,5,0.0,24.05,M.Stafford|LA|QB|2
M.Stafford,LA,QB,3,CIN,16.150000000000002,0,2.0,18.150000000000002,M.Stafford|LA|QB|3
M.Stafford,LA,QB,4,IND,21.35,5,0.0,26.35,M.Stafford|LA|QB|4
M.Stafford,LA,QB,5,PHI,23.1,0,0.0,23.1,M.Stafford|LA|QB|5
M.Stafford,LA,QB,6,ARI,17.5,0,2.0,19.5,M.Stafford|LA|QB|6
B.Hoyer,LV,QB,6,NE,4.800000000000001,0,2.0,6.800000000000001,B.Hoyer|LV|QB|6
J.Graham,NO,TE,3,GB,6.8,0,0.0,6.8,J.Graham|NO|TE|3
J.Graham,NO,TE,5,NE,0.0,0,0.0,0.0,J.Graham|NO|TE|5
B.Gabbert,KC,QB,3,CHI,-2.5500000000000003,0,0.0,-2.5500000000000003,B.Gabbert|KC|QB|3
A.Dalton,CAR,QB,3,SEA,31.150000000000002,5,4.0,40.150000000000006,A.Dalton|CAR|QB|3
A.Dalton,CAR,QB,5,DET,0.1,0,0.0,0.1,A.Dalton|CAR|QB|5
R.Cobb,NYJ,WR,1,BUF,0.0,0,0.0,0.0,R.Cobb|NYJ|WR|1
R.Cobb,NYJ,WR,2,DAL,0.0,0,0.0,0.0,R.Cobb|NYJ|WR|2
R.Cobb,NYJ,WR,3,NE,1.2000000000000002,0,0.0,1.2000000000000002,R.Cobb|NYJ|WR|3
R.Cobb,NYJ,WR,4,KC,0.8,0,0.0,0.8,R.Cobb|NYJ|WR|4
R.Cobb,NYJ,WR,5,DEN,0.0,0,0.0,0.0,R.Cobb|NYJ|WR|5
R.Cobb,NYJ,WR,6,PHI,2.0,0,0.0,2.0,R.Cobb|NYJ|WR|6
T.Taylor,NYG,QB,1,DAL,0.30000000000000004,0,0.0,0.30000000000000004,T.Taylor|NYG|QB|1
T.Taylor,NYG,QB,3,SF,0.2,0,0.0,0.2,T.Taylor|NYG|QB|3
T.Taylor,NYG,QB,5,MIA,5.7,0,0.0,5.7,T.Taylor|NYG|QB|5
T.Taylor,NYG,QB,6,BUF,12.4,0,0.0,12.4,T.Taylor|NYG|QB|6
R.Wilson,DEN,QB,1,LV,20.950000000000003,0,0.0,20.950000000000003,R.Wilson|DEN|QB|1
R.Wilson,DEN,QB,2,WAS,35.0,5,10.0,50.0,R.Wilson|DEN|QB|2
R.Wilson,DEN,QB,3,MIA,19.3,5,2.0,26.3,R.Wilson|DEN|QB|3
R.Wilson,DEN,QB,4,CHI,30.45,0,2.0,32.45,R.Wilson|DEN|QB|4
R.Wilson,DEN,QB,5,NYJ,24.700000000000003,0,0.0,24.700000000000003,R.Wilson|DEN|QB|5
R.Wilson,DEN,QB,6,KC,9.85,0,0.0,9.85,R.Wilson|DEN|QB|6
M.Jones,DET,WR,1,KC,-1.2,0,0.0,-1.2,M.Jones|DET|WR|1
M.Jones,DET,WR,4,GB,0.0,0,0.0,0.0,M.Jones|DET|WR|4
M.Jones,DET,WR,5,CAR,2.2,0,0.0,2.2,M.Jones|DET|WR|5
M.Jones,DET,WR,6,TB,0.5,0,0.0,0.5,M.Jones|DET|WR|6
K.Cousins,MIN,QB,1,TB,23.9,5,2.0,30.9,K.Cousins|MIN|QB|1
K.Cousins,MIN,QB,2,PHI,40.2,5,4.0,49.2,K.Cousins|MIN|QB|2
K.Cousins,MIN,QB,3,LAC,35.35,5,4.0,44.35,K.Cousins|MIN|QB|3
K.Cousins,MIN,QB,4,CAR,14.95,0,0.0,14.95,K.Cousins|MIN|QB|4
K.Cousins,MIN,QB,5,KC,26.700000000000003,0,0.0,26.700000000000003,K.Cousins|MIN|QB|5
K.Cousins,MIN,QB,6,CHI,12.55,0,0.0,12.55,K.Cousins|MIN|QB|6
R.Tannehill,TEN,QB,1,NO,4.4,0,2.0,6.4,R.Tannehill|TEN|QB|1
R.Tannehill,TEN,QB,2,LAC,25.5,0,4.0,29.5,R.Tannehill|TEN|QB|2
R.Tannehill,TEN,QB,3,CLE,5.2,0,0.0,5.2,R.Tannehill|TEN|QB|3
R.Tannehill,TEN,QB,4,CIN,17.1,0,2.0,19.1,R.Tannehill|TEN|QB|4
R.Tannehill,TEN,QB,5,IND,12.400000000000002,0,0.0,12.400000000000002,R.Tannehill|TEN|QB|5
R.Tannehill,TEN,QB,6,BAL,1.8000000000000003,0,0.0,1.8000000000000003,R.Tannehill|TEN|QB|6
K.Juszczyk,SF,RB,3,NYG,0.30000000000000004,0,0.0,0.30000000000000004,K.Juszczyk|SF|RB|3
