player_id,player_name,player_display_name,position,position_group,team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,return_yards_placeholder,key
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,NYJ,2023,1,REG,BUF,0,1,0.0,0,0.0,1.0,10.0,0,0,17.0,0.0,0.0,-2.0319598,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,A.Rodgers|NYJ|QB|1
00-0024243,M.Lewis,Marcedes Lewis,TE,TE,CHI,2023,4,REG,DEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,8.0,0,0.0,0.0,-3.0,11.0,0.0,0.48346484,0,0.0,0.03125,-0.012396694,0.038197313,0.0,0,M.Lewis|CHI|TE|4
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,2023,1,REG,SEA,24,38,334.0,0,0.0,0.0,-0.0,0,0,409.0,106.0,17.0,20.679981,0,0.8166259,0.21719006,3,11.0,0,0.0,0.0,1.0,0.8680859,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,M.Stafford|LA|QB|1
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,2023,2,REG,SF,34,55,307.0,1,2.0,1.0,10.0,0,0,363.0,144.0,17.0,-5.089193,0,0.84573,-0.029704621,4,17.0,0,0.0,0.0,1.0,-0.43832973,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,M.Stafford|LA|QB|2
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,2023,3,REG,CIN,18,33,269.0,1,2.0,6.0,48.0,0,0,317.0,99.0,12.0,-8.40479,0,0.8485804,-0.010766178,1,7.0,0,0.0,0.0,1.0,2.5295763,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,M.Stafford|LA|QB|3
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,2023,4,REG,IND,27,40,319.0,1,1.0,2.0,16.0,0,0,297.0,114.0,16.0,11.3743515,0,1.074074,0.17090178,2,14.0,0,0.0,0.0,0.0,3.265997,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,M.Stafford|LA|QB|4
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,2023,5,REG,PHI,21,37,222.0,2,0.0,4.0,27.0,0,0,366.0,90.0,13.0,-2.536261,0,0.60655737,-0.014530161,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,M.Stafford|LA|QB|5
00-0026498,M.Stafford,Matthew Stafford,QB,QB,LA,2023,6,REG,ARI,15,24,226.0,1,0.0,3.0,23.0,0,0,191.0,84.0,7.0,3.2710502,0,1.183246,0.106581196,1,2.0,0,0.0,0.0,0.0,-0.45945233,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,M.Stafford|LA|QB|6
00-0026625,B.Hoyer,Brian Hoyer,QB,QB,LV,2023,6,REG,NE,6,10,102.0,0,0.0,0.0,-0.0,0,0,120.0,24.0,4.0,4.7522593,0,0.85,0.23076297,3,-3.0,0,0.0,0.0,0.0,-1.8153455,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,B.Hoyer|LV|QB|6
00-0027696,J.Graham,Jimmy Graham,TE,TE,NO,2023,3,REG,GB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,8.0,1,0.0,0.0,8.0,0.0,1.0,2.708027,0,1.0,0.029411765,0.02909091,0.06448128,0.0,0,J.Graham|NO|TE|3
00-0027696,J.Graham,Jimmy Graham,TE,TE,NO,2023,5,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,6.0,0.0,0.0,-1.904473,0,0.0,0.04,0.025,0.0775,0.0,0,J.Graham|NO|TE|5
00-0027948,B.Gabbert,Blaine Gabbert,QB,QB,KC,2023,3,REG,CHI,3,5,31.0,0,2.0,0.0,-0.0,0,0,31.0,9.0,2.0,-6.7060456,0,1.0,0.040773023,2,-1.0,0,0.0,0.0,0.0,-2.4900472,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,B.Gabbert|KC|QB|3
00-0027973,A.Dalton,Andy Dalton,QB,QB,CAR,2023,3,REG,SEA,34,58,361.0,2,0.0,3.0,27.0,0,0,477.0,128.0,17.0,4.5483294,0,0.7568134,0.0633122,2,11.0,0,0.0,0.0,1.0,1.050913,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,A.Dalton|CAR|QB|3
00-0027973,A.Dalton,Andy Dalton,QB,QB,CAR,2023,5,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,1.0,0,0.0,0.0,1.0,0.37754697,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0,A.Dalton|CAR|QB|5
